ds,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2020-03-03,Uttarakhand,-0.005756150298686845,0.1077684776758032
2020-03-03,Madhya Pradesh,0.0034040978979588523,0.09206970963626317
2020-03-03,Rajasthan,0.004087109132768818,0.09809394816843847
2020-03-03,Tripura,-0.010040207465570584,0.1077393361178184
2020-03-03,Bihar,0.07076598970569295,0.10862020540470417
2020-03-03,Jharkhand,0.03463849293224089,0.10318091861093323
2020-03-03,Tamil Nadu,-0.03584364075058576,0.09470397985943636
2020-03-03,Sikkim,-0.04476404932429024,0.16109421581557756
2020-03-03,Lakshadweep,-0.051702176967252184,0.08589723855388827
2020-03-03,Telangana,-0.03134360790770098,0.09696589536405716
2020-03-03,Haryana,-0.017954720160813176,0.094354139830908
2020-03-03,Assam,0.006445770129095509,0.106236137646837
2020-03-03,Puducherry,-0.03554921860741955,0.07855642894001845
